,result,table,_time,cpuUsage,diskRead,diskUsage,diskWrite,memoryUsage,networkDownload,networkUpload
,_result,0,2026-09-03T03:22:00.675Z,53.37,142442.41132996604,63.03,7241506.562665662,80.86,5552956.859063922,2913061.054096108
,_result,0,2026-09-03T03:22:10.689Z,86.19,3192314.6581558427,55.36,133090.06171454585,60.55,7168357.527611863,1944448.167302053
,_result,0,2026-09-03T03:22:20.699Z,82.49,8188919.696321932,66.12,487036.8650656132,31.22,1120245.8919476455,3803560.7587200324
,_result,0,2026-09-03T03:22:30.715Z,89.62,3396536.7133056,99.28,9546664.69170571,55.04,6966654.583080452,4947950.440215439
,_result,0,2026-09-03T03:22:40.728Z,72.73,5916402.4209399205,81.01,3958082.6566316364,85.65,6029375.262485749,388939.48945097456
,_result,0,2026-09-03T03:22:50.738Z,17.33,5078261.013680445,13.33,9252492.241054801,25.79,2934909.244144095,4505479.800685962
,_result,0,2026-09-03T03:23:00.749Z,44.78,2817217.6668317807,30.42,3345428.1759348083,68.86,3785722.8479946502,8840151.272818588
,_result,0,2026-09-03T03:23:10.759Z,40.58,6359279.635032959,97.74,3318444.5002133125,60.42,3889362.98616942,4445574.894013562
,_result,0,2026-09-03T03:23:20.769Z,82.61,693190.8226388128,23.64,2158378.895128328,15.28,736084.7351758082,3640112.501892762
,_result,0,2026-09-03T03:23:30.778Z,83.67,9991777.747247852,50.85,1483543.0203088461,28.31,3998118.1787902997,2175412.2064468297
,_result,0,2026-09-03T03:23:40.791Z,43.17,7484970.974102324,87.84,465386.4139549624,17.47,4975205.461533704,9207862.109412163
,_result,0,2026-09-03T03:23:50.807Z,50.72,7062061.01297488,74.55,742136.0274159239,70.55,4149281.9656278244,8272534.429843492
,_result,0,2026-09-03T03:24:00.817Z,48.21,6814845.920937973,19.47,1303563.2271761778,55.94,1854123.3874885165,4149356.544664504
,_result,0,2026-09-03T03:24:10.83Z,48.33,9739433.193471609,11.15,7989269.940391145,79.94,1983312.46695987,8823890.845665952
,_result,0,2026-09-03T03:24:20.845Z,96.98,1683385.9312172306,78.1,6907157.577948466,36.86,5034008.299546349,7847514.891991965
,_result,0,2026-09-03T03:24:30.86Z,2.6,7393282.227568549,1.21,3194148.8804880013,98.12,2805448.873741786,880825.7242517659
,_result,0,2026-09-03T03:24:40.875Z,96.82,4745821.8015682725,15.43,3161857.4445196744,69.44,4282728.511290604,3972351.5234718244
,_result,0,2026-09-03T03:24:50.888Z,24.97,7603170.439461231,11.53,4167661.6470138473,34.31,6093512.847132962,5436852.0812249
,_result,0,2026-09-03T03:25:00.896Z,12.38,5896249.04269095,8.6,3725396.0229767812,61.97,6543091.969231761,7273449.525687409
,_result,0,2026-09-03T03:25:10.908Z,23.61,8695387.634778673,76.67,3127384.0172224087,25.48,1999692.3242662644,365604.4982799844
,_result,0,2026-09-03T03:25:20.922Z,58.54,1022556.0278623935,63.58,7748780.777563117,63.06,462440.0314734067,4634400.827092116
,_result,0,2026-09-03T03:25:30.936Z,53.32,7914979.455018475,57.83,677095.6378239323,63.82,3495597.92381249,927566.031793532
,_result,0,2026-09-03T03:25:40.946Z,81.61,6932063.843693614,17.28,7862149.074180811,50.98,1991951.1172210625,9502278.80641614
,_result,0,2026-09-03T03:25:50.956Z,28.14,4235091.114529805,74.26,1546871.9634779338,6.74,7617314.811414632,5344703.975053973
,_result,0,2026-09-03T03:26:00.966Z,29.05,5327479.804096184,78.24,7500789.282807495,28.19,6088687.732397827,5189046.608257829
,_result,0,2026-09-03T03:26:06.356Z,69.49,4116969.446248482,34.37,7000683.438448444,13.14,1967681.7851543282,3846720.472949141
,_result,0,2026-09-03T03:26:10.978Z,86.66,1971650.2068244112,77.06,9600998.808509275,77.38,5559167.665064572,7350477.910987135
,_result,0,2026-09-03T03:26:16.366Z,16.69,3648244.963443772,21.04,7403270.734674101,6.56,9509419.3299375,3962027.250078597
,_result,0,2026-09-03T03:26:20.987Z,44.75,5253267.343343127,66.95,2655922.6319704433,15.51,214800.7808324115,6372085.424140546
